timestamp,received_at,temperature,humidity,motion_counts,motion_state,battery_voltage
2025-09-19 19:25:40.535661,2025-09-19T19:25:40.535661,26.51,65.2,11661,Activity,3.085
2025-09-19 19:25:40.535746,2025-09-19T19:25:40.535746,26.51,65.2,11661,Activity,3.085
2025-09-19 19:28:01.794111,2025-09-19T19:28:01.794111,26.55,64.9,11672,Activity,3.084
2025-09-19 19:28:01.794199,2025-09-19T19:28:01.794199,26.55,64.9,11672,Activity,3.084
2025-09-19 19:30:03.130219,2025-09-19T19:30:03.130219,26.55,64.5,11685,Activity,3.083
2025-09-19 19:30:03.130287,2025-09-19T19:30:03.130287,26.55,64.5,11685,Activity,3.083
2025-09-19 19:32:03.549530,2025-09-19T19:32:03.549530,26.54,64.8,11695,Activity,3.084
2025-09-19 19:32:03.551501,2025-09-19T19:32:03.551501,26.54,64.8,11695,Activity,3.084
2025-09-19 19:34:08.171763,2025-09-19T19:34:08.171763,26.57,64.9,11720,Activity,3.083
2025-09-19 19:34:08.171807,2025-09-19T19:34:08.171807,26.57,64.9,11720,Activity,3.083
2025-09-19 19:39:55.238626,2025-09-19T19:39:55.238626,26.62,65.0,11736,Activity,3.084
2025-09-19 19:39:55.238641,2025-09-19T19:39:55.238641,26.62,65.0,11736,Activity,3.084
2025-09-19 19:50:08.037359,2025-09-19T19:50:08.037359,26.64,64.9,11741,Activity,3.084
2025-09-19 19:50:08.037912,2025-09-19T19:50:08.037912,26.64,64.9,11741,Activity,3.084
2025-09-19 19:52:58.669036,2025-09-19T19:52:58.669036,26.67,65.3,11748,No activity,3.083
2025-09-19 19:52:58.669049,2025-09-19T19:52:58.669049,26.67,65.3,11748,No activity,3.083
2025-09-19 19:53:06.042868,2025-09-19T19:53:06.042868,26.67,65.3,11749,Activity,3.083
2025-09-19 19:53:06.042904,2025-09-19T19:53:06.042904,26.67,65.3,11749,Activity,3.083
2025-09-19 19:55:49.901725,2025-09-19T19:55:49.901725,26.68,65.6,11750,Activity,3.084
2025-09-19 19:55:49.901727,2025-09-19T19:55:49.901727,26.68,65.6,11750,Activity,3.084
2025-09-19 19:59:37.383090,2025-09-19T19:59:37.383090,26.73,65.8,11752,Activity,3.083
2025-09-19 19:59:37.383134,2025-09-19T19:59:37.383134,26.73,65.8,11752,Activity,3.083
2025-09-19 20:14:02.001205,2025-09-19T20:14:02.001205,26.78,65.5,11772,Activity,3.084
2025-09-19 20:14:02.001227,2025-09-19T20:14:02.001227,26.78,65.5,11772,Activity,3.084
2025-09-19 20:18:18.274200,2025-09-19T20:18:18.274200,26.79,65.5,11773,Activity,3.084
2025-09-19 20:18:18.274208,2025-09-19T20:18:18.274208,26.79,65.5,11773,Activity,3.084
2025-09-19 20:20:44.621971,2025-09-19T20:20:44.621971,26.75,65.5,11790,Activity,3.085
2025-09-19 20:20:44.621994,2025-09-19T20:20:44.621994,26.75,65.5,11790,Activity,3.085
2025-09-19 20:22:58.053695,2025-09-19T20:22:58.053695,26.77,65.5,11790,No activity,3.085
2025-09-19 20:22:58.053705,2025-09-19T20:22:58.053705,26.77,65.5,11790,No activity,3.085
2025-09-19 20:23:23.544214,2025-09-19T20:23:23.544214,26.74,65.5,11791,Activity,3.083
2025-09-19 20:52:57.607116,2025-09-19T20:52:57.607116,26.57,65.3,11791,No activity,3.084
